Colour,HEX,RGB,CMYK,Pantone approximation
Sky,#034D78,3/77/120,98/64/33/15,PANTONE 7692 C approx.
Ocean,#02337F,2/51/127,100/78/15/3,PANTONE 2945 C approx.
Cobalt,#0055A4,0/85/164,100/67/0/6,PANTONE 300 C approx.
Aqua,#00A6C7,0/166/199,84/13/20/0,PANTONE 3125 C approx.
Deep Blue,#001B53,0/27/83,100/90/25/35,PANTONE 2767 C approx.
Shore,#062D38,6/45/56,90/50/50/55,PANTONE 5463 C approx.
Panel,#071919,7/25/25,85/55/55/85,PANTONE Black 6 C approx.
Sun,#F0400B,240/64/11,0/85/100/0,PANTONE 172 C approx.
White,#FFFFFF,255/255/255,0/0/0/0,Opaque White
Black,#000000,0/0/0,0/0/0/100,PANTONE Black C approx.
Gold,#B58A2A,181/138/42,25/35/95/12,PANTONE 7555 C approx.
Gray1,#D7D7D7,215/215/215,0/0/0/16,Cool Gray 2 C approx.
Gray2,#707070,112/112/112,0/0/0/56,Cool Gray 10 C approx.
